ID,Edad,Type,2d2j,2d2k,2e2m,2e2n,2f2o,4a5a,4b5b,4c5c,4d5d,4e5e,4f5f,4g5g,4h5h,4i5i,4j5j,4k5k,5b6b,6a7a,6b7b,7a8e,7b8d,7c8f,7d8f,7e9b,7f9c,7g9d,7h9e,8a8b,8b8c,Age,Sex,Region
0r6yo63nn26q6dzw5zk0r6yo6kuk989g,,Pac,6,6,6,6,6,4,4,4,1,2,1,2,2,3,3,4,,2,2,1,1,2,2,2,5,3,3,3,3,51,H,Cataluña
1rxo540th0x3p6enoumam1rxoa5uw4mg,,Pac,6,6,6,6,6,6,6,5,1,2,1,3,3,3,5,2,,5,5,3,2,2,1,2,6,1,2,1,6,51,H,Comunidad de Madrid
48erwgjxpmak48eius7nq7bz7w29lsi5,,Pac,1,1,3,3,3,1,1,1,1,1,1,5,5,5,5,1,6,1,1,6,2,1,6,1,1,1,1,3,4,85,H,Cataluña
xdkw2d921sw8vhwwmpxdkw2d4up6cuf7,,Pac,4,4,4,4,5,3,5,6,2,2,1,5,5,5,5,5,,3,3,4,2,3,3,3,1,6,3,4,4,49,H,Comunidad de Madrid
72c1iscssqftocl72c1fxpdbtjs126u1,,Pac,4,4,4,4,4,6,6,4,2,5,3,3,4,3,3,3,,4,4,2,3,3,2,4,2,2,2,3,4,48,H,Cataluña
llvnz9sdm2tuupbllvyzkrxxqcjgdhn6,,Pac,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,1,,1,1,1,1,1,1,1,6,1,1,2,3,60,M,Cantabria
9f515h8a1tkkvirv2mhb9f51rdm91xqo,,Pac,1,1,1,1,6,6,6,1,1,1,1,6,6,6,6,6,,6,6,1,1,1,4,1,1,1,1,4,6,52,M,Comunidad de Madrid
amuqhb0172p0wp6ee0amuqhqq5ot0532,,Pac,2,2,1,1,3,6,6,2,2,3,2,6,3,6,6,4,6,5,5,3,3,3,2,2,3,2,2,2,4,61,M,Cantabria
w6jgii3ct73ayeaw6jhalr29iu8k3x4o,,Pac,4,4,4,4,4,5,4,4,3,4,2,4,4,4,5,5,4,4,4,5,5,5,4,3,5,3,2,4,5,46,H,Cantabria
shjw4hdpusdhzyxz03fshshjw4csc8sh,,Pac,4,4,4,4,5,4,5,4,4,2,2,4,5,5,5,4,,3,3,4,5,4,2,5,5,3,3,2,5,45,H,Cataluña
pxuaz3n1mxzoyoakdpxuawnqtg25b73q,,Pac,6,6,5,5,5,5,5,5,1,5,1,6,6,6,6,6,,6,6,1,3,1,1,4,6,4,3,4,6,82,M,Cataluña
8jpxmbbo9soxjajx8jpxmpb7yeeochdp,,Pac,5,5,4,4,3,3,3,4,3,4,3,6,6,4,3,5,5,3,3,1,1,1,1,2,5,1,3,2,3,57,NS/NC,Cataluña
5ojst4t684j0ywu4mkon5ojst4vu4bvt,,Pac,6,6,6,6,6,4,4,6,1,1,4,4,4,1,1,1,,1,1,1,6,1,1,1,6,1,1,1,1,78,NS/NC,Comunidad de Madrid
2gdamae4cerky9hb3n2gdammyv8bejem,,Pac,5,5,5,5,5,5,5,5,2,5,1,1,1,2,4,3,,3,3,6,6,6,4,4,6,6,5,5,3,26,H,Cantabria
ej67jlbm7qdjzo3nogdpej67jlq3ddmw,,Pac,6,6,6,6,6,6,6,4,1,5,6,5,5,5,5,5,6,4,4,4,4,4,2,3,4,4,4,3,5,61,H,Cantabria
9d1d2wb5ofa6j1d59dkn734qojhfn5oe,,Pac,6,6,1,1,5,4,4,4,1,1,2,1,1,4,1,1,,1,1,3,4,1,1,6,6,1,1,1,3,59,H,Cantabria
b1fzgb6mo4y4jal159m64b1fzgb6moxt,,Pac,5,5,5,5,5,4,3,3,3,3,5,2,2,2,2,2,,4,3,1,1,3,2,2,2,3,3,1,1,67,H,Cataluña
0o9w0q4vz39b6sazujeu0o9w0ohksgeb,,Pac,6,6,6,6,6,6,6,6,1,1,6,6,6,6,6,6,,1,1,1,3,1,1,1,6,6,6,6,6,61,H,Cantabria
5hoizabo8lm5wifty5p05hoizaf02stj,,Pac,3,3,2,2,5,6,6,6,2,3,4,6,6,6,6,6,,2,3,1,1,6,4,6,6,6,4,6,6,42,H,Castilla-La Mancha
dyqgqx9przda00jwzqu1dyqgqx5tdah7,,Pac,4,4,4,4,4,5,5,3,3,4,5,5,6,6,6,6,6,4,4,3,4,4,3,5,5,5,4,4,4,33,H,Castilla-La Mancha
mt7b2m2nmes2qzhmq9j2mt7b202e5d0w,,Pac,5,5,6,6,5,4,3,4,4,3,2,2,3,5,4,3,,2,2,2,2,2,2,2,3,2,2,2,3,76,H,Cantabria
ez0pxmut6d8hxgck6tez0pxmn5pk3rw3,,Pac,5,5,6,6,5,4,3,4,4,3,2,2,3,5,4,3,,2,2,2,2,2,2,2,3,2,2,2,3,21,M,Cantabria
7jcc9y5dohhiu6uvl7jcc9yifczcygoh,,Pac,4,4,3,3,3,2,3,3,2,3,3,3,3,4,4,4,,2,2,3,4,2,2,2,3,2,2,2,3,47,H,Comunidad de Madrid
v2jsfv89prvz7fhbf8v2jsex09hr3awu,,Pac,6,6,6,6,5,3,3,3,1,3,3,4,1,5,3,2,6,3,3,6,5,5,3,4,5,5,4,4,5,61,H,Cataluña
bg0jlnbxjp2jqe3bg0jutsawzotx9uoc,,Pac,3,3,6,6,3,5,5,6,1,3,1,6,5,6,6,1,,1,5,1,1,1,3,1,6,1,1,1,5,57,M,Comunidad de Madrid
luukkics0k22hluuvaxhjlqedcx0jt3u,,Pac,3,3,1,1,2,6,6,6,1,4,3,5,5,6,6,3,6,6,6,1,1,1,1,5,5,1,1,3,6,60,M,Andalucía
7uibyigi1pfwbxneoq77uibdsf2nf1l4,,Pac,4,4,5,5,6,6,6,6,3,5,3,4,4,6,6,6,,6,6,6,5,6,3,6,6,4,3,5,6,58,M,Comunidad de Madrid
knmq0kksdrlbnib3knmq0x8w345vpnir,,Pac,5,5,5,5,5,4,3,3,1,2,2,2,2,2,2,2,5,3,2,2,3,3,2,3,4,4,3,2,2,75,H,Cantabria
ajxmzj1ghgv135ef6ajxmg6vyy9cy40b,,Pac,3,3,5,5,5,6,6,5,6,5,3,3,3,6,6,4,6,5,3,4,5,4,2,1,4,3,1,2,3,50,H,Castilla-La Mancha
jdnv9k0rb4l82jgx2ymwwijdnv9k0yfq,,Pac,1,1,1,1,3,4,4,3,1,5,6,5,5,5,5,4,,3,3,3,2,3,1,1,3,3,1,2,5,73,H,NS/NC
50pxwne3x75ki850pxwc4w90ffvqklou,,Pac,1,1,1,1,1,5,6,4,1,4,1,6,5,6,6,6,5,6,6,4,5,4,4,4,6,6,5,4,5,21,H,Castilla-La Mancha
24zw3870weklv5uuguku03pj24zw3870,,Pac,1,1,1,1,1,1,1,2,2,2,1,6,1,6,6,3,6,1,1,1,2,1,1,1,6,1,1,1,4,43,M,Castilla-La Mancha
e9nelwhql4d0ruue9p4lt587pojei4p1,,Pac,5,5,4,4,2,5,6,6,1,1,1,1,1,2,2,2,,1,3,3,5,5,4,3,6,6,5,3,3,60,M,Castilla-La Mancha
8qv1bt9ckj7sr5binln708qv1bt9jipg,,Pac,2,2,2,2,1,6,5,4,2,3,5,3,3,6,5,5,,5,5,5,3,2,2,5,5,2,2,1,3,34,H,Castilla-La Mancha
5vpnr97glj2ehg6zus5vpnrsal4qeem0,,Pac,1,1,1,1,6,5,6,6,1,4,6,6,6,6,6,6,,6,6,6,6,4,4,5,1,1,6,6,6,49,H,Castilla-La Mancha
f62l6j2ru0uyhazirso2f62l6j2f0igm,,Pac,2,2,5,5,3,5,4,3,1,3,1,1,1,1,5,5,,5,5,4,1,2,3,6,5,4,2,1,5,66,NS/NC,Castilla-La Mancha
6h66qbgvknr9g5fmfrk76h66q8d1ifjp,,Pac,1,1,1,1,1,3,1,1,1,1,1,6,1,1,1,1,,1,1,3,1,1,5,3,3,1,1,1,4,58,H,Castilla-La Mancha
uauy6ef9rub3yzihuauvg64gt4ds0pvg,,Pac,1,1,1,1,1,3,3,3,1,6,4,3,2,1,3,1,,1,1,1,1,1,1,1,1,3,3,1,4,30,H,Castilla-La Mancha
k5x6vgucx0rqcp5xk5x6vadfx17vevz4,,Pac,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,82,H,Cataluña
qmuxznm5sqzh9yagfxilqmuxznm1meiy,,Pac,6,6,6,6,6,1,6,6,1,4,6,1,5,6,6,6,,6,6,3,6,4,6,1,6,1,1,5,6,51,M,Cataluña
pnwawyejp1uw6gncbftd5ppnwawyy1wk,,Pac,6,6,6,6,6,6,4,6,1,3,4,6,2,3,6,4,6,3,1,5,6,4,1,4,6,4,3,3,3,37,H,Cataluña
wjtwzjgfrejqd2hv225wjtwzjg6bopjh,,Pac,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,4,4,4,6,2,6,2,2,3,2,58,M,Cataluña
zpdc9n3u5mm7gmlzpdcxhvzy5ra1asht,,Pac,5,5,5,5,4,6,6,5,1,5,5,6,6,6,6,6,1,1,1,1,1,1,1,4,2,6,6,3,6,71,H,Cataluña
6vyy5feco2gm37lf6vypkvk2gzjk7reh,,Pac,5,5,3,3,5,1,5,6,1,1,1,6,6,6,3,2,,1,1,1,3,1,1,1,6,1,1,1,1,36,M,Cataluña
hxdjfi9366p6a0clkqhxdjfyfs8yj7pv,,Pac,2,2,2,2,5,3,3,4,2,6,4,4,4,5,4,3,,2,2,3,4,3,3,1,3,3,2,3,3,49,M,NS/NC
bb142bwqz6lf5iubb120z3c6rvdb9bjs,,Pac,6,6,6,6,6,6,6,6,1,6,1,4,4,4,5,5,,4,4,3,3,3,3,6,6,4,3,4,4,58,H,Cataluña
3jxsl5nowlq157t03jxsl5wgjddiuimg,,Pac,4,4,1,1,5,4,2,1,1,4,3,4,1,2,3,3,,1,1,1,3,1,1,1,3,2,1,2,3,81,H,Cataluña
onrxdz1fppit59n9tjonrxg8ohsq4sq9,,Pac,4,4,1,1,4,6,6,4,1,1,5,1,5,5,5,5,5,1,2,5,3,1,2,1,6,1,2,3,3,58,H,Cataluña
td9vamms6cdp17ro8ootd9vajydjp9uk,,Pac,4,4,4,4,5,5,5,6,1,1,4,5,4,6,6,5,,4,4,1,1,1,1,6,6,4,3,4,4,47,M,Castilla-La Mancha
eaem6kfcasyqcl7c1gln4ab3eaem6kfc,,Pac,6,6,6,6,4,4,4,6,1,1,1,6,1,4,5,5,,1,1,1,1,1,1,1,4,1,1,1,4,62,M,Castilla-La Mancha
k0ycohswp2a1tq8knk0ydz4wwq64rkqk,,Pac,5,5,3,3,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,1,6,4,3,6,6,4,4,3,4,48,M,Castilla-La Mancha
z9lp9rbzrbit364c4zkftz9lp9r04sr3,,Pac,5,5,5,5,6,5,3,5,1,2,1,5,4,6,6,6,4,6,6,5,5,4,4,6,6,4,5,5,6,65,H,Comunidad de Madrid
lbvd4byvu3xn0owuh8lbvd4tdgm8gg7z,,Pac,3,3,3,3,1,3,3,1,1,1,3,6,4,6,6,2,5,6,5,1,2,1,1,1,1,1,1,1,5,24,M,Andalucía
cigmvv9zq8nu0wocigmsu2sdkii4mrxw,,Pac,5,5,5,5,5,5,6,5,5,3,1,6,3,5,5,4,,3,3,1,5,3,3,5,5,4,3,4,4,49,M,Castilla-La Mancha
qtxhupbh7twdymkqtxh2p4kq5wenf4yg,,Pac,5,5,4,4,6,2,2,1,1,1,2,4,2,3,1,1,,1,1,1,5,2,2,1,6,1,1,2,5,49,H,Cataluña
myld151ovjmyld4grtr1il2gjyqapks4,,Pac,6,6,6,6,6,6,3,1,1,1,1,2,3,3,4,1,6,2,2,3,4,2,5,2,6,5,1,4,2,74,M,Cataluña
70syihv20drgc70syij2dylkqsnb9ynx,,Pac,1,1,3,3,1,6,6,6,6,1,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,6,6,81,M,Andalucía
hlq5pluw2yiehlqbgmrb44oziqv3tue5,,Pac,4,4,6,6,6,6,5,3,4,5,3,5,1,6,6,6,6,6,6,6,6,2,1,6,6,5,4,4,6,53,M,Andalucía
3nbt7m9a7umr7ppl3nbtd0v2pod7x79c,,Pac,5,5,5,5,6,1,1,3,3,1,1,4,1,1,1,1,,1,1,3,4,1,1,1,1,1,1,1,1,50,H,Andalucía
1x1v1cfhqcjcd1u2tk11x1v10o3p2j5g,,Pac,4,4,4,4,5,1,1,3,1,1,1,4,1,1,1,1,5,3,3,2,3,1,1,5,5,1,1,1,3,57,M,Andalucía
s2jx9k4g41mxh1wvhlofhs2jx9k4ls78,,Pac,1,1,1,1,4,1,4,1,1,1,6,1,5,2,1,1,,2,1,3,5,3,1,3,1,2,1,1,5,63,M,Andalucía
boym28cvy8fd21l1titboy3tonqvkt04,,Pac,3,3,3,3,3,5,6,4,4,4,3,2,5,1,3,2,5,6,2,4,3,5,2,5,4,2,2,1,4,63,M,Andalucía
zj0opk7bpl4i5b9kjzj0opawndjsw2qy,,Pac,1,1,5,5,1,5,5,5,2,3,6,6,6,6,6,3,6,5,5,1,6,5,5,1,6,4,1,3,5,61,M,Comunitat Valenciana
k82cgxgxlykdxksyr1i5gk82cgxs8yn2,,Pac,5,5,4,4,5,4,4,2,2,3,3,3,3,3,3,3,,1,1,1,2,3,3,1,5,2,2,2,2,41,H,Cataluña
lozrv57bmqurp9co2lozrv224tud7aap,,Pac,3,3,2,2,5,4,5,5,2,2,4,5,5,5,5,5,4,4,4,2,3,2,5,5,5,4,4,2,5,64,M,Andalucía
jadg7iu3e7rzqiu1g94pbjadg7iadezk,,Pac,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,63,NS/NC,Cataluña
wguu727rjuzywvyfps46nwguu7gj8vl8,,Pac,6,6,6,6,5,6,6,3,1,6,1,1,6,1,6,6,,6,6,6,3,6,2,1,6,5,6,5,6,67,M,Cataluña
vrqncmz5a7nvzw01vrqnte8wkwp0aw45,,Pac,5,5,5,5,5,6,6,6,1,6,6,6,5,6,6,6,,5,4,3,5,6,1,5,6,4,4,6,5,60,M,Castilla-La Mancha
qfbm48epqrkqi09wqfbm48su7c3m102a,,Pac,1,1,3,3,2,6,6,5,1,5,5,1,1,6,6,6,6,5,6,6,5,6,2,3,6,6,2,5,5,50,H,Cataluña
dc5a9wqlyz32e2dvuwdchmg0s1w10dyb,,Pac,6,6,6,6,6,5,5,6,2,6,6,4,2,2,4,5,6,5,2,5,5,4,3,1,6,5,6,3,5,75,H,NS/NC
xagozp4pj61n44aj5sa1xagozzuu8sau,,Pac,2,2,1,1,5,3,3,1,2,3,2,1,1,2,3,2,,2,2,2,3,2,1,3,4,3,1,1,1,58,H,Cataluña
45rjfd7r08hbbte46tbd45rjfd7r7vh8,,Pac,4,4,4,4,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,3,5,5,3,3,4,3,37,M,Cataluña
